"","caseid","V1","V2","V3","V4","V5","V6","V7"
"322","20160111152225","31","01","Full time","01","589","0","525"
"323","20160111152228","45","02","Full time","01","450","0","165"
"324","20160111152248","17","02","Part time","01","480","0","390"
"325","20160111152254","29","01","Full time","01","405","0","360"
"326","20160111152299","33","01","Full time","01","510","0","60"
"327","20160111152317","85","01","No answer","02","540","0","625"
"328","20160111152324","51","01","Full time","01","580","0","0"
"329","20160111152325","72","01","Part time","01","540","0","270"
"330","20160111152327","49","02","Full time","01","720","0","210"
"331","20160111152341","18","01","Part time","01","640","0","360"
"332","20160111152377","55","01","Part time","01","585","0","420"
"333","20160111152388","80","01","No answer","01","600","0","225"
"334","20160111152394","42","01","Full time","01","520","0","100"
"335","20160111152397","42","02","No answer","02","630","0","585"
"336","20160111152414","68","02","No answer","01","465","0","70"
"337","20160111152428","63","02","Full time","01","510","0","150"
"338","20160111152441","66","01","No answer","01","540","0","515"
"339","20160111152444","32","01","Full time","01","630","0","145"
"340","20160111152469","35","01","Full time","01","600","0","90"
"341","20160111152481","46","01","Full time","01","640","0","240"
"342","20160111152489","17","01","No answer","01","640","0","240"
"343","20160111152509","25","01","Full time","01","570","0","185"
"344","20160111152520","37","02","Full time","01","695","0","595"
"345","20160112150002","69","02","No answer","02","735","0","619"
"346","20160112150005","38","01","Full time","01","300","0","570"
"347","20160112150008","28","02","Full time","01","350","0","120"
"348","20160112150011","34","01","Full time","01","445","0","245"
"349","20160112150013","35","01","Full time","01","640","0","590"
"350","20160112150014","42","01","Full time","01","485","0","315"
"351","20160112150024","27","02","Full time","01","107","0","60"
"352","20160112150028","52","02","No answer","02","420","0","420"
"353","20160112150033","62","02","Full time","01","360","0","320"
"354","20160112150035","36","01","Full time","01","600","0","220"
"355","20160112150036","72","02","No answer","01","510","0","345"
"356","20160112150039","44","02","Full time","01","870","0","0"
"357","20160112150043","64","01","Part time","02","600","0","542"
"358","20160112150044","39","01","Full time","01","490","0","200"
"359","20160112150047","34","02","No answer","01","540","0","730"
"360","20160112150052","73","02","No answer","01","545","0","585"
"361","20160112150053","85","01","No answer","01","1025","0","360"
"362","20160112150057","25","02","Part time","01","720","0","150"
"363","20160112150058","66","01","No answer","01","510","0","210"
"364","20160112150062","70","02","No answer","01","600","0","465"
"365","20160112150063","72","02","No answer","01","630","0","400"
"366","20160112150070","50","01","Full time","01","480","0","387"
"367","20160112150081","85","02","No answer","01","450","0","720"
"368","20160112150090","16","01","No answer","01","540","0","288"
"369","20160112150100","67","01","No answer","01","630","0","743"
"370","20160112150101","35","02","Full time","01","505","0","332"
"371","20160112150104","42","01","Full time","01","385","0","75"
"372","20160112150107","44","02","Full time","01","510","0","184"
"373","20160112150110","64","02","Part time","01","645","0","0"
"374","20160112150113","59","02","Full time","01","255","0","180"
"375","20160112150114","55","01","No answer","02","525","0","865"
"376","20160112150119","38","01","No answer","01","375","0","337"
"377","20160112150120","50","02","Full time","01","420","0","465"
"378","20160112150124","50","02","Full time","01","400","0","0"
"379","20160112150128","41","01","Part time","01","486","0","425"
"380","20160112150136","54","01","No answer","01","0","0","1027"
"381","20160112150142","29","01","Full time","01","416","0","234"
"382","20160112150144","35","02","No answer","01","525","0","221"
"383","20160112150149","28","02","Part time","01","585","0","175"
"384","20160112150151","75","02","Part time","01","600","0","245"
"385","20160112150157","56","01","Full time","01","415","0","60"
"386","20160112150159","85","02","No answer","02","640","0","570"
"387","20160112150173","30","01","No answer","01","538","0","185"
"388","20160112150502","29","02","Part time","01","600","0","334"
"389","20160112150505","16","02","No answer","01","510","112","210"
"390","20160112150507","33","01","Full time","01","610","0","373"
"391","20160112150508","40","02","Part time","01","460","0","60"
"392","20160112150509","72","01","Full time","01","590","0","385"
"393","20160112150513","62","02","Full time","01","420","0","405"
"394","20160112150514","30","01","Full time","01","585","0","495"
"395","20160112150515","22","02","Full time","01","325","0","636"
"396","20160112150516","37","01","Part time","01","480","0","464"
"397","20160112150517","56","02","No answer","01","515","0","80"
"398","20160112150519","24","01","Part time","01","240","0","578"
"399","20160112150540","45","01","Full time","01","217","0","0"
"400","20160112150542","41","01","Full time","01","640","0","495"
"401","20160112150543","62","02","Full time","01","567","0","600"
"402","20160112150545","50","01","Full time","01","480","0","0"
"403","20160112150546","30","02","No answer","01","705","0","165"
"404","20160112150547","18","02","No answer","01","840","50","345"
"405","20160112150548","27","02","Full time","01","510","0","70"
"406","20160112150552","36","02","Full time","01","417","0","190"
"407","20160112150554","76","02","No answer","01","660","0","195"
"408","20160112150556","85","02","No answer","01","930","0","210"
"409","20160112150561","44","01","No answer","01","930","0","196"
"410","20160112150564","52","01","Full time","01","450","0","220"
"411","20160112150566","50","02","Full time","01","510","0","170"
"412","20160112150567","44","02","Full time","01","510","0","0"
"413","20160112150568","74","01","No answer","01","600","0","415"
"414","20160112150569","30","02","Full time","01","510","0","78"
"415","20160112150570","22","02","No answer","01","670","0","30"
"416","20160112150571","17","02","No answer","01","375","210","0"
"417","20160112150573","44","01","Full time","01","720","0","165"
"418","20160112150582","35","02","Full time","01","450","0","255"
"419","20160112150583","36","02","Full time","01","700","60","115"
"420","20160112150585","68","02","Full time","01","315","0","120"
"421","20160112150586","80","02","No answer","01","540","0","120"
"422","20160112150587","49","02","No answer","02","540","0","860"
"423","20160112150588","42","01","Full time","01","420","0","840"
"424","20160112150592","44","02","Full time","01","610","0","410"
"425","20160112150598","44","02","Full time","01","660","0","360"
"426","20160112150599","51","02","Full time","01","450","0","40"
"427","20160112150600","28","01","Full time","01","850","0","180"
"428","20160112150602","69","02","No answer","01","510","0","465"
"429","20160112150605","34","01","Full time","01","540","0","420"
"430","20160112150607","47","02","Part time","01","520","0","297"
"431","20160112150613","31","01","Full time","01","420","0","325"
"432","20160112150616","64","02","No answer","01","300","0","764"
"433","20160112150617","80","02","No answer","01","450","0","70"
"434","20160112150625","21","01","Full time","01","615","0","195"
"435","20160112150626","33","01","Full time","01","405","0","290"
"436","20160112150628","44","01","Full time","01","537","0","223"
"437","20160112150632","62","01","No answer","02","718","0","374"
"438","20160112150634","21","01","Full time","01","180","0","34"
"439","20160112150639","71","02","No answer","01","540","0","432"
"440","20160112150641","69","01","Full time","01","493","0","105"
"441","20160112150644","38","02","No answer","01","492","0","180"
"442","20160112150648","66","01","Full time","01","570","0","690"
"443","20160112150651","80","02","No answer","01","570","0","523"
"444","20160112150653","44","02","Full time","01","450","0","173"
"445","20160112150661","57","02","No answer","01","660","0","478"
"446","20160112150662","48","02","Full time","01","405","0","575"
"447","20160112150664","36","02","Part time","02","600","0","240"
"448","20160112150667","53","01","Full time","01","540","0","150"
"449","20160112150668","85","02","No answer","01","555","0","715"
"450","20160112150671","43","01","Full time","01","660","0","335"
"451","20160112150675","47","01","Full time","01","375","0","30"
"452","20160112150679","62","01","Full time","01","315","0","105"
"453","20160112150681","39","02","No answer","02","660","0","540"
"454","20160112150685","76","02","No answer","02","450","0","250"
"455","20160112150686","47","01","Full time","01","509","0","120"
"456","20160112150688","75","01","Part time","01","540","0","216"
"457","20160112150696","66","02","Part time","01","420","0","140"
"458","20160112150697","31","02","No answer","01","590","0","365"
"459","20160112150699","79","01","No answer","01","630","0","480"
"460","20160112150701","52","02","Full time","01","465","0","140"
"461","20160112150704","57","01","No answer","02","865","0","235"
"462","20160112150710","52","01","No answer","01","615","0","580"
"463","20160112150719","76","01","No answer","01","741","0","390"
"464","20160112150722","44","02","No answer","02","635","0","230"
"465","20160112150724","15","02","No answer","01","600","0","653"
"466","20160112150725","22","01","Full time","01","510","0","260"
"467","20160112150727","48","02","Part time","01","390","0","513"
"468","20160112150729","46","02","No answer","01","420","0","30"
"469","20160112150731","51","01","Full time","01","465","0","290"
"470","20160112150733","41","02","Full time","01","390","0","445"
"471","20160112150735","57","02","No answer","02","860","0","440"
"472","20160112150743","70","02","No answer","01","570","0","440"
"473","20160112150748","69","01","No answer","01","540","0","375"
